Region,Population,Planning_Area,Postal_District,Postal_District_Name,Level
North Coast,12100,Woodlands,D25,"Kranji, Woodgrove",subzone
Senoko West,20,Woodlands,D25,"Kranji, Woodgrove",subzone
Woodgrove,33790,Woodlands,D25,"Kranji, Woodgrove",subzone
Woodlands East,98980,Woodlands,D25,"Kranji, Woodgrove",subzone
Woodlands Regional Centre,10,Woodlands,D25,"Kranji, Woodgrove",subzone
Woodlands South,41000,Woodlands,D25,"Kranji, Woodgrove",subzone
Woodlands West,33910,Woodlands,D25,"Kranji, Woodgrove",subzone
Yishun - Total,221610,Yishun,D27,"Yishun, Sembawang",planning_area
Khatib,10250,Yishun,D27,"Yishun, Sembawang",subzone
Lower Seletar,18660,Yishun,D27,"Yishun, Sembawang",subzone
Nee Soon,890,Yishun,D27,"Yishun, Sembawang",subzone
Northland,28000,Yishun,D27,"Yishun, Sembawang",subzone
Springleaf,4370,Yishun,D27,"Yishun, Sembawang",subzone
Yishun Central,2620,Yishun,D27,"Yishun, Sembawang",subzone
Yishun East,60670,Yishun,D27,"Yishun, Sembawang",subzone
Yishun South,42240,Yishun,D27,"Yishun, Sembawang",subzone
Yishun West,53910,Yishun,D27,"Yishun, Sembawang",subzone
